from,to,length,oneway,name
307548,307544,170.63813199124084,True,улица Рылеева
307561,8192053238,263.18866694985206,True,Калужский переулок
307570,10951896333,37.18970471463747,False,Таврическая улица
307570,1820015960,38.88306621800186,True,
307570,12181771612,353.42902651830116,False,Таврическая улица
307602,8192053232,163.7288168367342,True,Кавалергардская улица
307611,1462163594,155.40286653767174,False,
307611,12033890027,22.735165223698875,False,Смольный проспект
307611,21626366,103.78714303021911,False,Смольный проспект
308190,308191,25.951957946598114,False,Биржевой проезд
308190,3660091442,112.1390151616111,True,Менделеевская линия
308191,308190,25.951957946598114,False,Биржевой проезд
308191,2006800598,113.01738236490496,True,Биржевой проезд
308191,308203,227.57352979013402,True,Менделеевская линия
308202,308203,111.38737677592349,True,Биржевой проезд
308202,26056566,97.50010938943768,False,Тифлисский переулок
308203,308205,21.329438334685268,False,Биржевой проезд
308203,26056565,96.40737660537116,True,Менделеевская линия
308205,308203,21.329438334685268,False,Биржевой проезд
308205,308190,228.91802244001332,True,Менделеевская линия
308206,308205,68.8419638776303,True,Менделеевская линия
308207,308206,76.17508432616418,True,площадь Академика Сахарова
308207,1938764342,31.21916598100018,False,площадь Академика Сахарова
308223,254994639,11.926564316054105,True,Университетская набережная
308223,26056557,129.8687652686473,True,4-5-я линии В.О.
308224,370045151,82.15107344257295,False,Бугский переулок
308224,308228,161.21381300741868,True,4-5-я линии В.О.
308225,370045151,78.26661590380557,False,Бугский переулок
308225,26056558,70.3213424300954,False,6-7-я линии В.О.
308225,368001577,108.69370722872779,False,6-7-я линии В.О.
308226,370045144,77.99574342429261,True,
308226,368001577,53.806909581550585,False,6-7-я линии В.О.
308226,3723904342,36.38039510842624,False,6-7-я линии В.О.
308228,308229,164.47830441156975,True,
308228,3723904351,36.48469281058079,True,4-5-я линии В.О.
308229,308230,81.59065524454925,True,
308229,245943,244.3372522291857,True,2-3-я линии В.О.
308230,3670330426,77.47001830867806,True,
308230,3723904359,36.74063364302697,False,улица Репина
308230,245944,244.20052200065032,False,улица Репина
308237,2024822624,90.9098327610633,True,площадь Трезини
308237,4146667288,100.61907161910992,True,набережная Лейтенанта Шмидта
308238,2012579579,95.91270454436123,False,Замятин переулок
308238,367359149,258.2573897974709,True,Английская набережная
308258,1941331901,164.3242757034035,True,
308258,10972323017,460.29972139156666,True,18-19-я линии В.О.
308259,1723041721,182.17127504984575,True,16-я линия В.О.
308259,308258,162.8556877164762,True,
308259,3723904209,39.31649527808584,False,16-17-я линии В.О.
308260,1839007627,162.69492752935724,True,
308260,10972322922,454.5954277668881,True,12-13-я линии В.О.
