id,lat,lon
25893339,59.8927794,30.2647012
25893340,59.8930134,30.2697799
25893341,59.8929212,30.2665739
25893463,59.8961291,30.2647839
25893468,59.8963856,30.2583991
25893518,59.8967297,30.2681078
25893574,59.8957146,30.2549685
25893619,59.8934257,30.2609856
25893774,59.9044467,30.2459789
25893780,59.9049467,30.2491707
25893781,59.9052669,30.2503039
25893785,59.9047151,30.2522824
25893793,59.9038872,30.2448799
25893806,59.9089061,30.2408284
25893813,59.9087174,30.2385557
25893817,59.9093458,30.2403254
25893823,59.903966,30.2358609
25893872,59.903878,30.234082
25893875,59.9023393,30.2493057
25893935,59.9051706,30.2165866
25893973,59.9106185,30.2484599
25893988,59.9172818,30.2931771
25893989,59.9180966,30.2924531
25893990,59.9184573,30.2940717
25893992,59.917163,30.2882694
25893993,59.9169929,30.2874818
25894003,59.9204167,30.3108156
25894241,59.9246346,30.3267365
25894264,59.9229663,30.3271571
25894266,59.9251503,30.328093
25894302,59.9293167,30.3389648
25894358,59.9285381,30.3472791
25894359,59.928506,30.3476745
25894919,59.9514832,30.4147402
25894942,59.9383948,30.404132
25894945,59.943835,30.405041
26052945,59.9419018,30.4770993
26052950,59.9413858,30.4777158
26052965,59.9430428,30.477706
26052967,59.9401007,30.4768132
26052968,59.9393394,30.4765698
26052985,59.937813,30.4761031
26052986,59.9378338,30.4758592
